TRIP
DATE 1970-01-01

DECLINATION	0.00
DATA
13	14	2.810	164.77	-0.19		;  {from: 2.819 164.82 -0.22, 2.808 164.74 -0.15, 2.803 164.76 -0.19}
14		0.502	0.87	+66.59	
14		0.529	303.98	+59.41	
14		0.710	283.34	+32.92	
14		1.326	171.34	+88.21	
14		1.707	264.48	+61.12	
14		1.288	259.06	+39.84	
14		0.294	272.22	-55.74	
14		1.533	342.46	-6.73	
14		1.065	13.95	-1.04	
14		1.045	344.25	+21.69	
14		0.968	355.79	+18.52	
14		0.857	324.87	+25.08	
14		1.956	211.55	+19.32	
14		2.282	179.08	+28.21	
14		2.119	198.08	+24.79	
14		1.978	178.13	+43.15	
14		2.573	170.06	+27.89	
14		1.054	236.58	+24.63	
14		1.840	246.17	+42.46	
14	15	1.870	211.27	+19.65		;  {from: 1.869 211.18 +19.73, 1.869 211.31 +19.61, 1.872 211.32 +19.61}
15		0.585	276.31	+83.59	
15		0.660	339.03	-0.16	
15		0.330	342.11	-45.21	
15		0.658	207.53	+8.40	
15		2.140	40.45	+2.11	
15		1.882	25.88	+9.29	
15		1.325	87.38	+5.01	
15		1.604	107.94	+14.54	
15		3.252	231.88	+5.14	
15		1.466	325.32	+10.15	
15		2.497	311.98	+11.67	
15		4.236	292.09	+6.46	
15		4.129	274.00	+3.49	
15		0.429	320.79	-36.89	
15		1.278	277.66	-21.01	
15		1.726	227.86	-5.39	
15		3.580	238.16	+7.11	
15	16	3.119	261.88	+6.86		;  {from: 3.119 261.84 +6.80, 3.118 261.92 +6.92, 3.118 261.89 +6.85}
16		0.838	80.12	+50.13	
16		0.838	80.12	+50.13	
16		1.667	75.44	+6.55	
16		1.368	76.76	+28.15	
16		1.368	76.76	+28.15	
16		0.580	45.87	-88.06	
16		1.388	64.05	-33.85	
16		2.689	76.92	-16.72	
16		1.968	327.19	+2.39	
16		2.414	344.96	+1.79	
16		2.800	358.99	+2.17	
16		2.496	23.10	-0.44	
16		2.865	35.49	-0.77	
16		2.576	55.50	-2.61	
16		3.206	60.33	+0.66	
16		2.561	94.08	-3.63	
16		2.451	109.44	-0.25	
16		2.950	124.63	+0.97	
16		3.805	140.13	-1.98	
16		1.496	168.37	+0.67	
16		3.332	160.61	-0.76	
16		1.226	174.20	+7.12	
16		0.503	191.69	+43.57	
16		1.708	326.77	-6.01	
16	17	3.951	349.66	-0.31		;  {from: 3.952 349.58 -0.30, 3.949 349.66 -0.30, 3.950 349.72 -0.32}
